available_bike_stands,hour,surface_pressure,is_day,apparent_temperature,date
7,15,983.4,1,27.349999999999998,2023-07-04 15:00:00+00:00
12,16,983.3000000000001,1,26.400000000000002,2023-07-04 16:00:00+00:00
15,17,983.05,1,25.05,2023-07-04 17:00:00+00:00
12,18,983.24,1,24.3,2023-07-04 18:00:00+00:00
4,19,983.3499999999999,0,24.25,2023-07-04 19:00:00+00:00
0,20,983.2999999999998,0,23.93333333333333,2023-07-04 20:00:00+00:00
1,21,983.5222222222221,0,23.077777777777776,2023-07-04 21:00:00+00:00
0,22,983.8,0,20.985714285714288,2023-07-04 22:00:00+00:00
3,23,983.7999999999998,0,19.5,2023-07-04 23:00:00+00:00
10,0,983.76,0,18.82,2023-07-05 00:00:00+00:00
18,1,983.6555555555556,0,18.444444444444443,2023-07-05 01:00:00+00:00
20,2,983.35,0,18.4,2023-07-05 02:00:00+00:00
20,3,982.9857142857143,0,17.95714285714286,2023-07-05 03:00:00+00:00
21,4,982.775,0,16.7,2023-07-05 04:00:00+00:00
21,5,982.4857142857144,0,15.971428571428573,2023-07-05 05:00:00+00:00
20,6,982.4272727272728,1,16.70909090909091,2023-07-05 06:00:00+00:00
21,7,982.7888888888889,1,19.044444444444444,2023-07-05 07:00:00+00:00
20,8,982.9444444444445,1,21.48888888888889,2023-07-05 08:00:00+00:00
20,9,982.9454545454545,1,23.745454545454546,2023-07-05 09:00:00+00:00
20,10,983.0333333333333,1,25.72222222222222,2023-07-05 10:00:00+00:00
18,11,982.9272727272728,1,27.59090909090909,2023-07-05 11:00:00+00:00
14,12,982.3,1,28.4,2023-07-05 12:00:00+00:00
11,13,981.6,1,27.8,2023-07-05 13:00:00+00:00
13,14,980.9272727272728,1,26.91818181818182,2023-07-05 14:00:00+00:00
12,15,981.0,1,27.366666666666664,2023-07-05 15:00:00+00:00
8,16,980.9333333333333,1,27.344444444444445,2023-07-05 16:00:00+00:00
6,17,980.1999999999999,1,27.45,2023-07-05 17:00:00+00:00
0,18,979.7999999999998,1,27.91111111111111,2023-07-05 18:00:00+00:00
1,19,980.0222222222224,0,26.57777777777778,2023-07-05 19:00:00+00:00
1,20,980.5181818181819,0,25.236363636363638,2023-07-05 20:00:00+00:00
0,21,981.5222222222221,0,24.22222222222222,2023-07-05 21:00:00+00:00
