,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
150,2023-06-27 00:56:34+00:00,5.445734148546413,79,14.3,8.176247185080943,0.0,0.0,4.285127686490636e+129,22,0
149,2023-06-27 01:06:39+00:00,5.445734148546413,79,14.3,8.176247185080943,0.0,0.0,4.285127686490636e+129,22,0
148,2023-06-27 01:16:43+00:00,5.445734148546413,79,14.3,8.176247185080943,0.99,0.0,4.285127686490636e+129,22,0
158,2023-06-27 01:30:34+00:00,5.51591765986469,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
156,2023-06-27 01:31:35+00:00,5.51591765986469,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
157,2023-06-27 01:40:38+00:00,5.51591765986469,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
159,2023-06-27 01:50:43+00:00,5.51591765986469,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
155,2023-06-27 02:00:49+00:00,5.515917659864695,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
154,2023-06-27 02:10:54+00:00,5.51591765986469,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
153,2023-06-27 02:20:59+00:00,5.515917659864695,81,15.1,8.36463377339759,0.0,0.0,4.285127686490636e+129,22,0
160,2023-06-27 02:31:04+00:00,5.51591765986469,82,15.2,8.36463377339759,5.0,0.0,4.3043077406118376e+129,22,0
163,2023-06-27 02:41:09+00:00,5.515220378673604,82,15.2,8.36463377339759,5.0,0.0,4.3043077406118376e+129,22,0
162,2023-06-27 02:51:16+00:00,5.51591765986469,82,15.2,8.36463377339759,5.0,0.0,4.3043077406118376e+129,22,0
161,2023-06-27 03:01:19+00:00,5.51591765986469,82,15.2,8.36463377339759,5.0,0.0,4.3043077406118376e+129,22,0
164,2023-06-27 03:11:24+00:00,5.514871703973709,82,15.2,8.36463377339759,5.0,0.0,4.3043077406118376e+129,22,0
165,2023-06-27 03:21:30+00:00,5.51591765986469,82,15.2,8.36463377339759,5.0,0.0,4.3043077406118376e+129,22,0
173,2023-06-27 03:31:35+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,0
172,2023-06-27 03:41:40+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,0
171,2023-06-27 03:51:45+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,0
170,2023-06-27 04:00:49+00:00,5.480941561855406,83,15.3,8.333395523540817,11.07,0.0,4.2660311593268804e+129,22,2
174,2023-06-27 04:01:52+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,2
