available_bike_stands,surface_pressure,dew_point,day_of_week,apparent_temperature
16,963.4,0.3,3,7.1
16,963.9,1.2,3,5.1
13,965.4,2.0,3,5.7
10,966.4,1.7,3,8.1
11,966.9,1.7,3,9.7
10,967.8,2.2,3,10.8
3,968.5,2.0,3,12.3
1,969.9,3.1,3,11.7
8,969.8,4.0,3,11.7
5,970.0,5.2,3,11.1
4,970.2,6.2,3,9.9
15,969.4,6.0,3,10.0
18,969.1,7.2,3,9.6
17,969.3,7.8,3,8.3
16,969.5,8.4,3,8.3
14,971.8,8.2,3,9.1
14,975.0,7.1,3,7.5
14,977.1,3.1,3,5.3
14,977.1,3.8,3,5.5
13,978.4,4.0,4,4.8
13,979.0,4.8,4,4.6
13,979.3,4.7,4,4.2
13,979.7,4.2,4,3.5
13,979.7,3.6,4,3.1
13,980.1,3.4,4,3.2
11,980.3,3.7,4,3.6
10,980.3,4.7,4,5.8
6,980.2,7.2,4,9.5
7,980.1,8.9,4,13.1
10,979.9,7.3,4,15.8
13,979.8,8.1,4,16.2
14,979.7,8.9,4,16.1
16,979.8,9.3,4,16.4
16,979.4,9.7,4,15.8
20,979.6,9.3,4,15.9
15,979.3,9.3,4,15.5
12,978.4,9.6,4,13.9
12,978.4,8.3,4,14.0
14,978.7,7.4,4,14.4
18,979.1,6.7,4,13.9
19,980.2,6.5,4,14.4
20,980.2,7.8,4,13.5
19,980.5,6.7,4,13.1
18,980.4,6.8,5,12.5
18,980.3,6.4,5,10.6
17,980.2,6.8,5,10.2
17,979.7,7.5,5,9.4
17,979.5,7.6,5,9.6
18,979.5,8.0,5,11.7
18,979.9,9.1,5,14.1
19,979.4,10.0,5,18.3
20,978.9,5.4,5,19.1
19,978.6,7.3,5,19.7
18,977.9,8.2,5,20.4
18,977.3,6.3,5,19.8
16,976.4,6.4,5,19.5
16,976.2,7.5,5,20.0
13,975.5,7.4,5,19.7
11,975.4,5.7,5,18.1
17,976.3,4.0,5,14.9
17,975.7,5.9,5,13.1
18,975.7,5.9,5,13.1
17,976.1,6.6,5,12.2
